"CustomerID","EmployeeID","OrderDate","RequiredDate","ShippedDate","ShipVia","Freight","ShipName","ShipAddress","ShipCity","ShipRegion","ShipPostalCode","ShipCountry"
"RICAR","4.00","9/6/1996","10/4/1996","9/13/1996","2.00","29.76","Ricardo Adocicados","Av. Copacabana, 267","Rio de Janeiro","RJ","02389-890","Brazil"
"MAGAA","2.00","9/9/1996","10/7/1996","9/18/1996","2.00","17.68","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Bergamo","","24100","Italy"
"WANDK","8.00","9/9/1996","10/7/1996","9/17/1996","2.00","45.08","Die Wandernde Kuh","Adenauerallee 900","Stuttgart","","70563","Germany"
"SUPRD","4.00","9/10/1996","10/8/1996","10/9/1996","2.00","6.27","Suprêmes délices","Boulevard Tirou, 255","Charleroi","","B-6000","Belgium"
"GODOS","7.00","9/11/1996","10/9/1996","9/18/1996","2.00","107.83","Godos Cocina Típica","C/ Romero, 33","Sevilla","","41101","Spain"
"TORTU","1.00","9/12/1996","10/10/1996","9/17/1996","2.00","63.79","Tortuga Restaurante","Avda. Azteca 123","México D.F.","","05033","Mexico"
"OLDWO","8.00","9/13/1996","10/11/1996","10/9/1996","3.00","257.62","Old World Delicatessen","2743 Bering St.","Anchorage","AK","99508","USA"
"ROMEY","1.00","9/16/1996","10/14/1996","9/23/1996","3.00","7.56","Romero y tomillo","Gran Vía, 1","Madrid","","28001","Spain"
"LONEP","2.00","9/17/1996","10/15/1996","9/25/1996","2.00","0.56","Lonesome Pine Restaurant","89 Chiaroscuro Rd.","Portland","OR","97219","USA"
"ANATR","7.00","9/18/1996","10/16/1996","9/24/1996","3.00","1.61","Ana Trujillo Emparedados y helados","Avda. de la Constitución 2222","México D.F.","","05021","Mexico"
"HUNGO","3.00","9/19/1996","10/17/1996","10/23/1996","1.00","47.30","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork","","Ireland"
"THEBI","8.00","9/20/1996","10/18/1996","9/27/1996","2.00","17.52","The Big Cheese","89 Jefferson Way Suite 2","Portland","OR","97201","USA"
"DUMON","1.00","9/20/1996","10/4/1996","9/26/1996","3.00","24.69","Du monde entier","67, rue des Cinquante Otages","Nantes","","44000","France"
"WANDK","2.00","9/23/1996","10/21/1996","10/3/1996","2.00","40.26","Die Wandernde Kuh","Adenauerallee 900","Stuttgart","","70563","Germany"
"QUICK","2.00","9/24/1996","10/22/1996","10/4/1996","2.00","1.96","QUICK-Stop","Taucherstraße 10","Cunewalde","","01307","Germany"
"RATTC","1.00","9/25/1996","10/23/1996","10/4/1996","2.00","74.16","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
"ISLAT","4.00","9/26/1996","10/24/1996","10/3/1996","2.00","41.76","Island Trading","Garden House Crowther Way","Cowes","Isle of Wight","PO31 7PJ","UK"
"RATTC","1.00","9/27/1996","10/25/1996","10/8/1996","3.00","150.15","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
"LONEP","6.00","9/30/1996","10/28/1996","10/10/1996","1.00","12.69","Lonesome Pine Restaurant","89 Chiaroscuro Rd.","Portland","OR","97219","USA"
"ISLAT","8.00","10/1/1996","10/29/1996","10/4/1996","2.00","4.73","Island Trading","Garden House Crowther Way","Cowes","Isle of Wight","PO31 7PJ","UK"
"TORTU","7.00","10/2/1996","10/30/1996","10/11/1996","3.00","64.50","Tortuga Restaurante","Avda. Azteca 123","México D.F.","","05033","Mexico"
"WARTH","5.00","10/3/1996","10/17/1996","10/18/1996","3.00","34.57","Wartian Herkku","Torikatu 38","Oulu","","90110","Finland"
"ISLAT","3.00","10/3/1996","10/31/1996","10/11/1996","2.00","3.43","Island Trading","Garden House Crowther Way","Cowes","Isle of Wight","PO31 7PJ","UK"
"PERIC","7.00","10/4/1996","11/1/1996","10/23/1996","3.00","0.40","Pericles Comidas clásicas","Calle Dr. Jorge Cash 321","México D.F.","","05033","Mexico"
"KOENE","4.00","10/7/1996","11/4/1996","10/14/1996","1.00","4.88","Königlich Essen","Maubelstr. 90","Brandenburg","","14776","Germany"
"SAVEA","9.00","10/8/1996","11/5/1996","10/10/1996","1.00","214.27","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA"
"KOENE","1.00","10/9/1996","10/23/1996","10/14/1996","3.00","64.86","Königlich Essen","Maubelstr. 90","Brandenburg","","14776","Germany"
"BOLID","4.00","10/10/1996","11/7/1996","10/14/1996","2.00","77.92","Bólido Comidas preparadas","C/ Araquil, 67","Madrid","","28023","Spain"
"FOLKO","2.00","10/11/1996","11/8/1996","10/14/1996","1.00","63.36","Folk och fä HB","Åkergatan 24","Bräcke","","S-844 67","Sweden"
"FURIB","4.00","10/14/1996","11/11/1996","10/17/1996","3.00","87.03","Furia Bacalhau e Frutos do Mar","Jardim das rosas n. 32","Lisboa","","1675","Portugal"
"SPLIR","4.00","10/15/1996","11/26/1996","10/23/1996","2.00","191.67","Split Rail Beer & Ale","P.O. Box 555","Lander","WY","82520","USA"
"LILAS","3.00","10/16/1996","11/13/1996","10/28/1996","1.00","12.75","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela"
"BONAP","9.00","10/16/1996","11/27/1996","10/21/1996","1.00","10.19","Bon app'","12, rue des Bouchers","Marseille","","13008","France"
"MEREP","3.00","10/17/1996","11/28/1996","10/21/1996","2.00","52.84","Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada"
"WARTH","5.00","10/18/1996","11/15/1996","10/25/1996","3.00","0.59","Wartian Herkku","Torikatu 38","Oulu","","90110","Finland"
"VICTE","8.00","10/21/1996","11/18/1996","10/28/1996","2.00","8.56","Victuailles en stock","2, rue du Commerce","Lyon","","69004","France"
"HUNGO","7.00","10/22/1996","11/19/1996","10/24/1996","2.00","42.11","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork","","Ireland"
"PRINI","7.00","10/23/1996","11/20/1996","10/25/1996","2.00","15.51","Princesa Isabel Vinhos","Estrada da saúde n. 58","Lisboa","","1756","Portugal"
"FRANK","4.00","10/24/1996","11/21/1996","10/29/1996","3.00","108.26","Frankenversand","Berliner Platz 43","München","","80805","Germany"
"OLDWO","4.00","10/25/1996","11/22/1996","10/29/1996","3.00","84.21","Old World Delicatessen","2743 Bering St.","Anchorage","AK","99508","USA"
"MEREP","2.00","10/28/1996","11/25/1996","11/4/1996","2.00","15.66","Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada"
"BONAP","1.00","10/29/1996","11/26/1996","11/8/1996","3.00","166.31","Bon app'","12, rue des Bouchers","Marseille","","13008","France"
"SIMOB","7.00","10/29/1996","11/26/1996","11/5/1996","3.00","26.78","Simons bistro","Vinbæltet 34","Kobenhavn","","1734","Denmark"
"FRANK","4.00","10/30/1996","11/13/1996","11/4/1996","2.00","54.83","Frankenversand","Berliner Platz 43","München","","80805","Germany"
"LEHMS","4.00","10/31/1996","11/28/1996","11/6/1996","1.00","110.37","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.","","60528","Germany"
"WHITC","4.00","11/1/1996","11/29/1996","11/5/1996","2.00","23.29","White Clover Markets","1029 - 12th Ave. S.","Seattle","WA","98124","USA"
"QUICK","2.00","11/4/1996","12/2/1996","11/11/1996","2.00","249.06","QUICK-Stop","Taucherstraße 10","Cunewalde","","01307","Germany"
"RATTC","3.00","11/5/1996","12/17/1996","11/8/1996","3.00","142.08","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
"FAMIA","4.00","11/6/1996","12/4/1996","11/8/1996","3.00","3.10","Familia Arquibaldo","Rua Orós, 92","Sao Paulo","SP","05442-030","Brazil"
"WANDK","4.00","11/7/1996","12/5/1996","11/15/1996","2.00","0.78","Die Wandernde Kuh","Adenauerallee 900","Stuttgart","","70563","Germany"
"SPLIR","7.00","11/8/1996","12/6/1996","11/15/1996","1.00","8.63","Split Rail Beer & Ale","P.O. Box 555","Lander","WY","82520","USA"
"LAMAI","6.00","11/11/1996","12/9/1996","12/3/1996","2.00","64.19","La maison d'Asie","1 rue Alsace-Lorraine","Toulouse","","31000","France"
"ERNSH","1.00","11/11/1996","12/9/1996","11/20/1996","1.00","162.33","Ernst Handel","Kirchgasse 6","Graz","","8010","Austria"
"FURIB","3.00","11/12/1996","11/26/1996","11/18/1996","3.00","1.30","Furia Bacalhau e Frutos do Mar","Jardim das rosas n. 32","Lisboa","","1675","Portugal"
"PICCO","7.00","11/13/1996","12/11/1996","11/25/1996","3.00","360.63","Piccolo und mehr","Geislweg 14","Salzburg","","5020","Austria"
"PERIC","8.00","11/14/1996","12/12/1996","11/20/1996","3.00","53.80","Pericles Comidas clásicas","Calle Dr. Jorge Cash 321","México D.F.","","05033","Mexico"
"AROUT","6.00","11/15/1996","12/13/1996","11/20/1996","1.00","41.95","Around the Horn","Brook Farm Stratford St. Mary","Colchester","Essex","CO7 6JX","UK"
"WANDK","6.00","11/18/1996","12/16/1996","11/27/1996","2.00","36.71","Die Wandernde Kuh","Adenauerallee 900","Stuttgart","","70563","Germany"
"LILAS","1.00","11/19/1996","12/17/1996","12/2/1996","3.00","34.88","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela"
"LAMAI","5.00","11/20/1996","12/18/1996","11/27/1996","1.00","19.64","La maison d'Asie","1 rue Alsace-Lorraine","Toulouse","","31000","France"
"SEVES","5.00","11/21/1996","12/19/1996","11/26/1996","3.00","288.43","Seven Seas Imports","90 Wadhurst Rd.","London","","OX15 4NB","UK"
"BLONP","4.00","11/22/1996","12/20/1996","12/2/1996","3.00","131.70","Blondel père et fils","24, place Kléber","Strasbourg","","67000","France"
"QUICK","1.00","11/22/1996","12/20/1996","12/3/1996","2.00","183.17","QUICK-Stop","Taucherstraße 10","Cunewalde","","01307","Germany"
"BONAP","3.00","11/25/1996","12/23/1996","11/28/1996","1.00","96.04","Bon app'","12, rue des Bouchers","Marseille","","13008","France"
"DRACD","4.00","11/26/1996","12/24/1996","12/4/1996","3.00","30.54","Drachenblut Delikatessen","Walserweg 21","Aachen","","52066","Germany"
"EASTC","1.00","11/26/1996","1/7/1997","12/4/1996","1.00","71.97","Eastern Connection","35 King George","London","","WX3 6FW","UK"
"ANTON","3.00","11/27/1996","12/25/1996","12/2/1996","2.00","22.00","Antonio Moreno Taquería","Mataderos  2312","México D.F.","","05023","Mexico"
"GALED","8.00","11/28/1996","1/9/1997","12/30/1996","2.00","10.14","Galería del gastronómo","Rambla de Cataluña, 23","Barcelona","","8022","Spain"
"VAFFE","7.00","11/28/1996","12/26/1996","12/2/1996","3.00","13.55","Vaffeljernet","Smagsloget 45","Århus","","8200","Denmark"
"ERNSH","2.00","11/29/1996","12/27/1996","12/2/1996","2.00","101.95","Ernst Handel","Kirchgasse 6","Graz","","8010","Austria"
"SPLIR","8.00","12/2/1996","12/30/1996","12/9/1996","2.00","195.68","Split Rail Beer & Ale","P.O. Box 555","Lander","WY","82520","USA"
"CHOPS","6.00","12/3/1996","12/31/1996","12/27/1996","2.00","1.17","Chop-suey Chinese","Hauptstr. 31","Bern","","3012","Switzerland"
"LAMAI","1.00","12/3/1996","12/31/1996","12/24/1996","1.00","0.45","La maison d'Asie","1 rue Alsace-Lorraine","Toulouse","","31000","France"
"QUEEN","5.00","12/4/1996","1/1/1997","12/9/1996","2.00","890.78","Queen Cozinha","Alameda dos Canàrios, 891","Sao Paulo","SP","05487-020","Brazil"
"HUNGO","4.00","12/5/1996","1/2/1997","12/11/1996","3.00","124.12","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork","","Ireland"
"WOLZA","1.00","12/5/1996","1/2/1997","12/9/1996","3.00","3.94","Wolski Zajazd","ul. Filtrowa 68","Warszawa","","01-012","Poland"
"HUNGC","3.00","12/6/1996","1/3/1997","12/9/1996","2.00","20.12","Hungry Coyote Import Store","City Center Plaza 516 Main St.","Elgin","OR","97827","USA"
"MEREP","1.00","12/9/1996","1/6/1997","12/13/1996","2.00","20.39","Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada"
"SEVES","1.00","12/9/1996","1/6/1997","12/13/1996","3.00","22.21","Seven Seas Imports","90 Wadhurst Rd.","London","","OX15 4NB","UK"
"FOLKO","5.00","12/10/1996","1/7/1997","12/19/1996","3.00","5.44","Folk och fä HB","Åkergatan 24","Bräcke","","S-844 67","Sweden"
"QUEDE","2.00","12/11/1996","1/8/1997","12/13/1996","1.00","45.03","Que Delícia","Rua da Panificadora, 12","Rio de Janeiro","RJ","02389-673","Brazil"
"HUNGO","8.00","12/12/1996","1/9/1997","1/16/1997","3.00","35.03","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork","","Ireland"
"LILAS","3.00","12/12/1996","1/9/1997","12/13/1996","3.00","7.99","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela"
"ERNSH","4.00","12/13/1996","1/10/1997","12/16/1996","1.00","94.77","Ernst Handel","Kirchgasse 6","Graz","","8010","Austria"
"AROUT","8.00","12/16/1996","1/13/1997","12/18/1996","3.00","34.24","Around the Horn","Brook Farm Stratford St. Mary","Colchester","Essex","CO7 6JX","UK"
"BERGS","3.00","12/16/1996","1/13/1997","12/20/1996","3.00","168.64","Berglunds snabbköp","Berguvsvägen  8","Luleå","","S-958 22","Sweden"
"SPLIR","1.00","12/17/1996","1/14/1997","12/23/1996","2.00","30.96","Split Rail Beer & Ale","P.O. Box 555","Lander","WY","82520","USA"
"FAMIA","9.00","12/18/1996","1/1/1997","12/25/1996","3.00","13.99","Familia Arquibaldo","Rua Orós, 92","Sao Paulo","SP","05442-030","Brazil"
"SANTG","1.00","12/18/1996","1/15/1997","12/20/1996","2.00","93.63","Santé Gourmet","Erling Skakkes gate 78","Stavern","","4110","Norway"
"SEVES","2.00","12/19/1996","1/16/1997","12/20/1996","1.00","34.86","Seven Seas Imports","90 Wadhurst Rd.","London","","OX15 4NB","UK"
"BOTTM","4.00","12/20/1996","1/17/1997","12/24/1996","2.00","47.42","Bottom-Dollar Markets","23 Tsawassen Blvd.","Tsawassen","BC","T2F 8M4","Canada"
"ERNSH","6.00","12/23/1996","1/20/1997","12/26/1996","1.00","126.38","Ernst Handel","Kirchgasse 6","Graz","","8010","Austria"
"DRACD","3.00","12/23/1996","1/20/1997","12/31/1996","3.00","5.45","Drachenblut Delikatessen","Walserweg 21","Aachen","","52066","Germany"
"PICCO","2.00","12/24/1996","1/21/1997","1/1/1997","3.00","122.46","Piccolo und mehr","Geislweg 14","Salzburg","","5020","Austria"
"SAVEA","1.00","12/25/1996","1/22/1997","1/3/1997","3.00","126.56","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA"
"HUNGC","1.00","12/25/1996","1/22/1997","1/3/1997","3.00","30.34","Hungry Coyote Import Store","City Center Plaza 516 Main St.","Elgin","OR","97827","USA"
"HILAA","6.00","12/26/1996","1/23/1997","1/3/1997","1.00","184.41","HILARION-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","Táchira","5022","Venezuela"
"FRANK","1.00","12/27/1996","1/10/1997","1/6/1997","3.00","135.35","Frankenversand","Berliner Platz 43","München","","80805","Germany"
"PRINI","5.00","12/27/1996","1/24/1997","1/2/1997","1.00","60.26","Princesa Isabel Vinhos","Estrada da saúde n. 58","Lisboa","","1756","Portugal"
"SAVEA","2.00","12/30/1996","1/27/1997","1/9/1997","3.00","89.16","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA"
"VAFFE","8.00","12/31/1996","1/14/1997","1/8/1997","3.00","27.36","Vaffeljernet","Smagsloget 45","Århus","","8200","Denmark"
"EASTC","1.00","1/1/1997","1/29/1997","1/16/1997","3.00","83.93","Eastern Connection","35 King George","London","","WX3 6FW","UK"
"RATTC","1.00","1/1/1997","1/29/1997","1/10/1997","1.00","12.51","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
"ERNSH","8.00","1/2/1997","2/13/1997","1/10/1997","2.00","67.88","Ernst Handel","Kirchgasse 6","Graz","","8010","Austria"
"ERNSH","4.00","1/3/1997","1/31/1997","1/9/1997","3.00","73.79","Ernst Handel","Kirchgasse 6","Graz","","8010","Austria"
"MAGAA","2.00","1/3/1997","1/31/1997","1/8/1997","1.00","155.97","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Bergamo","","24100","Italy"
"LINOD","1.00","1/6/1997","2/3/1997","1/22/1997","1.00","34.82","LINO-Delicateses","Ave. 5 de Mayo Porlamar","I. de Margarita","Nueva Esparta","4980","Venezuela"
"QUEEN","7.00","1/7/1997","2/18/1997","1/13/1997","1.00","108.04","Queen Cozinha","Alameda dos Canàrios, 891","Sao Paulo","SP","05487-020","Brazil"
"OTTIK","2.00","1/7/1997","2/4/1997","1/30/1997","2.00","91.48","Ottilies Käseladen","Mehrheimerstr. 369","Köln","","50739","Germany"
"FOLIG","8.00","1/8/1997","2/5/1997","1/14/1997","1.00","11.26","Folies gourmandes","184, chaussée de Tournai","Lille","","59000","France"
"OCEAN","3.00","1/9/1997","2/6/1997","1/14/1997","1.00","29.83","Océano Atlántico Ltda.","Ing. Gustavo Moncada 8585 Piso 20-A","Buenos Aires","","1010","Argentina"
"BOTTM","3.00","1/10/1997","2/7/1997","1/15/1997","3.00","2.40","Bottom-Dollar Markets","23 Tsawassen Blvd.","Tsawassen","BC","T2F 8M4","Canada"
"BOTTM","9.00","1/10/1997","2/7/1997","1/21/1997","3.00","23.65","Bottom-Dollar Markets","23 Tsawassen Blvd.","Tsawassen","BC","T2F 8M4","Canada"
"WARTH","8.00","1/13/1997","2/10/1997","1/15/1997","2.00","3.77","Wartian Herkku","Torikatu 38","Oulu","","90110","Finland"
"LAMAI","3.00","1/14/1997","2/11/1997","1/16/1997","2.00","95.66","La maison d'Asie","1 rue Alsace-Lorraine","Toulouse","","31000","France"
"FAMIA","2.00","1/14/1997","2/11/1997","1/17/1997","3.00","21.48","Familia Arquibaldo","Rua Orós, 92","Sao Paulo","SP","05442-030","Brazil"
"HUNGC","3.00","1/15/1997","2/12/1997","1/24/1997","1.00","0.20","Hungry Coyote Import Store","City Center Plaza 516 Main St.","Elgin","OR","97827","USA"
"WARTH","8.00","1/16/1997","2/13/1997","1/27/1997","3.00","22.72","Wartian Herkku","Torikatu 38","Oulu","","90110","Finland"
"SIMOB","4.00","1/16/1997","2/13/1997","1/28/1997","3.00","70.29","Simons bistro","Vinbæltet 34","Kobenhavn","","1734","Denmark"
"QUICK","4.00","1/17/1997","2/14/1997","1/24/1997","1.00","17.55","QUICK-Stop","Taucherstraße 10","Cunewalde","","01307","Germany"
"RICSU","4.00","1/20/1997","2/17/1997","1/30/1997","2.00","137.35","Richter Supermarkt","Starenweg 5","Genève","","1204","Switzerland"
"WELLI","3.00","1/21/1997","2/18/1997","1/27/1997","1.00","44.12","Wellington Importadora","Rua do Mercado, 12","Resende","SP","08737-363","Brazil"
"QUEDE","8.00","1/21/1997","3/4/1997","1/27/1997","1.00","99.23","Que Delícia","Rua da Panificadora, 12","Rio de Janeiro","RJ","02389-673","Brazil"
"FRANS","2.00","1/22/1997","2/19/1997","1/31/1997","1.00","3.02","Franchi S.p.A.","Via Monte Bianco 34","Torino","","10100","Italy"
